diag_1,diag_1_id
428,1
414,2
786,3
410,4
486,5
427,6
491,7
715,8
682,9
434,10
780,11
996,12
276,13
38,14
250.8,15
599,16
584,17
V57,18
250.6,19
518,20
820,21
577,22
493,23
435,24
562,25
574,26
296,27
560,28
250.7,29
250.13,30
440,31
433,32
998,33
722,34
250.02,35
578,36
250.11,37
507,38
789,39
453,40
530,41
8,42
403,43
535,44
415,45
402,46
295,47
724,48
458,49
162,50
997,51
250.12,52
250.82,53
278,54
733,55
285,56
592,57
401,58
482,59
558,60
590,61
197,62
280,63
824,64
250.1,65
153,66
426,67
569,68
648,69
571,70
531,71
511,72
250.4,73
787,74
404,75
707,76
411,77
198,78
572,79
466,80
812,81
250,82
552,83
730,84
V58,85
532,86
575,87
600,88
250.03,89
540,90
557,91
331,92
805,93
250.81,94
424,95
721,96
436,97
185,98
431,99
618,100
444,101
250.22,102
348,103
784,104
536,105
564,106
174,107
386,108
821,109
790,110
553,111
808,112
441,113
398,114
218,115
728,116
823,117
189,118
515,119
413,120
294,121
250.2,122
157,123
345,124
188,125
681,126
537,127
852,128
443,129
781,130
182,131
292,132
729,133
202,134
211,135
487,136
593,137
785,138
576,139
459,140
274,141
595,142
250.83,143
154,144
455,145
654,146
432,147
288,148
250.41,149
291,150
726,151
300,152
490,153
250.42,154
437,155
290,156
287,157
79,158
425,159
438,160
566,161
782,162
813,163
807,164
346,165
496,166
626,167
995,168
723,169
585,170
112,171
423,172
V55,173
481,174
303,175
416,176
799,177
608,178
282,179
711,180
642,181
625,182
420,183
298,184
447,185
238,186
151,187
284,188
250.01,189
241,190
969,191
962,192
567,193
311,194
850,195
293,196
738,197
716,198
53,199
924,200
719,201
332,202
965,203
155,204
550,205
275,206
250.92,207
555,208
822,209
253,210
465,211
727,212
596,213
620,214
512,215
227,216
220,217
556,218
9,219
70,220
519,221
225,222
340,223
286,224
42,225
191,226
V54,227
V53,228
959,229
514,230
485,231
573,232
421,233
922,234
714,235
451,236
788,237
429,238
860,239
604,240
309,241
203,242
349,243
333,244
851,245
516,246
442,247
277,248
611,249
239,250
510,251
801,252
430,253
304,254
568,255
659,256
492,257
478,258
183,259
802,260
396,261
351,262
844,263
999,264
783,265
250.23,266
233,267
193,268
283,269
205,270
644,271
135,272
235,273
150,274
658,275
522,276
47,277
527,278
794,279
710,280
661,281
196,282
250.43,283
307,284
305,285
456,286
616,287
534,288
327,289
255,290
494,291
473,292
446,293
693,294
825,295
204,296
252,297
920,298
242,299
621,300
533,301
586,302
614,303
?,304
656,305
607,306
528,307
250.3,308
281,309
338,310
664,311
380,312
461,313
958,314
357,315
581,316
617,317
591,318
250.33,319
226,320
289,321
312,322
480,323
873,324
853,325
156,326
627,327
250.32,328
972,329
967,330
355,331
718,332
250.93,333
513,334
601,335
200,336
V56,337
152,338
250.31,339
251,340
756,341
680,342
475,343
378,344
594,345
933,346
867,347
736,348
840,349
358,350
199,351
297,352
652,353
861,354
977,355
935,356
3,357
565,358
966,359
457,360
54,361
945,362
263,363
161,364
695,365
171,366
368,367
847,368
660,369
725,370
843,371
250.21,372
158,373
310,374
376,375
462,376
521,377
394,378
244,379
892,380
350,381
989,382
705,383
337,384
323,385
11,386
882,387
845,388
464,389
201,390
646,391
810,392
306,393
891,394
35,395
184,396
383,397
641,398
335,399
V71,400
88,401
78,402
454,403
117,404
588,405
230,406
816,407
354,408
5,409
541,410
992,411
195,412
163,413
952,414
737,415
342,416
865,417
V63,418
968,419
551,420
970,421
831,422
359,423
709,424
708,425
686,426
212,427
864,428
41,429
964,430
250.5,431
362,432
341,433
445,434
745,435
526,436
82,437
237,438
717,439
223,440
320,441
815,442
250.9,443
663,444
991,445
34,446
866,447
747,448
579,449
746,450
210,451
94,452
344,453
883,454
696,455
66,456
273,457
353,458
272,459
180,460
796,461
685,462
694,463
141,464
890,465
800,466
324,467
934,468
836,469
570,470
214,471
806,472
647,473
792,474
356,475
893,476
228,477
759,478
V45,479
753,480
622,481
452,482
814,483
495,484
942,485
379,486
388,487
751,488
598,489
655,490
463,491
